date,category,description,amount,payment_method,currency,merchant,city
2026-06-13,bus,,abc,cash,SEK,,kristianstad
2026-06-23,household,cleaning supplies,957.07,card,SEK,Lidl,Malmo
2026-03-01,household,cleaning supplies,911.15,mobile_payment,SEK,Ryanair,Stockholm
2026-03-13,food,coffee,1126.08,bank_transfer,SEK,Skane Trafiken,Malmo
2026-03-28,transport,bus card,626.49,bank_transfer,SEK,Apoteket,Kristianstad
2026-04-28,household,cleaning supplies,1557.79,mobile_payment,SEK,HM,Stockholm
2026-04-03,entertainment,movie,101.94,cash,DKK,HM,Kristianstad
2026-03-01,transport,taxi,466.42,bank_transfer,SEK,Shell,Lund
2026-02-23,health,pharmacy,986.34,cash,SEK,Filmstaden,Malmo
2026-04-29,study,printing,1583.55,cash,SEK,Akademibokhandeln,Kristianstad
2026-02-28,food,restaurant,659.83,card,SEK,Akademibokhandeln,Malmo
2026-06-17, TRAVEL ,local transport,1418.95,mobile_payment,SEK,Apoteket,Malmo
2026-03-05,household,lamp,1202.81,mobile_payment,SEK,Espresso House,Lund
2026-02-26,bills, rent share ,804.82,card,SEK,Skane Trafiken,Malmo
2026-06-24,study,book,634.08,mobile_payment,SEK,Apoteket,Stockholm
2026-01-03,transport,parking,1208.88,bank_transfer,SEK,HM,Helsingborg
2026-02-10,travel,hotel,1527.49,bank_transfer,SEK,EON,Stockholm
2026-01-28,health,clinic,269.96,cash,SEK,ICA,stockholm
2026-03-24,travel,hotel,205.63,bank_transfer,SEK,Filmstaden,Kristianstad
2026-03-03,transport,bus card,1179.09,card,DKK,,Malmo
2026-06-18,travel,flight,446.14,mobile_payment,SEK,Telia,Lund
2026-04-13,shopping,gift,1442.39,mobile_payment,SEK,Filmstaden,Malmo
2026-01-17, SHOPPING ,clothes,953.64,cash,SEK,Filmstaden,Kristianstad
2026-01-19,food,coffee,,card,SEK,Lidl,Stockholm
2026-03-02,health,vitamins,366.35,cash,SEK,IKEA,Malmo
2026-05-02,study,course fee,178.09,mobile_payment,SEK,Netflix,Helsingborg
2026-04-30,food, snacks ,1055.93,card,SEK,Espresso House,Lund
2026-01-28,entertainment,streaming,328.63,mobile_payment,SEK,Netflix,Malmo
2026-03-13,travel,flight,1402.94,card,SEK,SJ,Kristianstad
2026-06-16,household,cleaning supplies,abc,cash,SEK,Netflix,Helsingborg
2026-05-04,entertainment,game,1446.84,cash,SEK,ICA,Helsingborg
2026-03-09,travel,museum,694.12,mobile_payment,SEK,Telia,Lund
2026-02-25,food,breakfast,1185.11,card,EUR,Akademibokhandeln,Kristianstad
2026-01-13, TRAVEL ,flight,119.3,card,SEK,Lidl,Stockholm
2026-01-18,entertainment,game,218.22,cash,SEK,Coop,stockholm
2026-01-21,study,printing,1497.49,cash,SEK,Akademibokhandeln,Malmo
2026-03-09,study,course fee,1084.55,bank_transfer,SEK,Akademibokhandeln,Kristianstad
2026-01-03,travel,hotel,145.02,cash,SEK,Apoteket,Malmo
2026-03-31,transport,train ticket,610.16,cash,SEK,,Stockholm
2026-06-17,household, cleaning supplies ,1078.55,bank_transfer,SEK,SJ,Malmo
2026-03-09,transport,bus card,1195.59,cash,SEK,HM,Stockholm
2026-02-23,shopping,,1109.37,bank_transfer,SEK,IKEA,Lund
2026-01-14,transport,taxi,1332.08,card,SEK,Akademibokhandeln,Malmo
2026-06-13,health,clinic,1193.73,mobile_payment,SEK,ICA,Kristianstad
2026-01-20, BILLS ,rent share,86.56,bank_transfer,SEK,Skane Trafiken,Helsingborg
2026-02-02,food,restaurant,602.5,card,SEK,Telia,Malmo
2026-06-20,transport,fuel,,mobile_payment,SEK,Skane Trafiken,Malmo
2026-02-11,bills,mobile plan,68.91,bank_transfer,SEK,Filmstaden,Lund
2026-02-10,transport,taxi,1399.3,mobile_payment,SEK,Telia,Helsingborg
2026-03-31,health,clinic,379.99,cash,SEK,Akademibokhandeln,Lund
2026-01-18,health,gym,1037.13,mobile_payment,SEK,Akademibokhandeln,Kristianstad
2026-01-30,health,clinic,941.53,bank_transfer,SEK,SJ,stockholm
2026-04-22,shopping, shoes ,715.14,card,SEK,Telia,Lund
2026-01-12,study,book,846.27,cash,SEK,Netflix,Kristianstad
2026-06-20,shopping,bag,522.85,card,SEK,HM,Stockholm
2026-03-21, STUDY ,printing,661.77,bank_transfer,SEK,Skane Trafiken,Malmo
2026-04-18,study,course fee,996.36,bank_transfer,SEK,ICA,Lund
2026-03-15,entertainment,game,1263.64,bank_transfer,SEK,,Helsingborg
2026-06-22,entertainment,game,abc,cash,SEK,Lidl,Lund
2026-05-12,shopping,clothes,1314.92,cash,SEK,HM,Malmo
2026-02-20,bills,electricity,102.56,mobile_payment,SEK,Lidl,Helsingborg
2026-04-17,entertainment,game,806.17,cash,SEK,ICA,Kristianstad
2026-04-19,entertainment,streaming,1292.45,mobile_payment,SEK,Filmstaden,Kristianstad
2026-04-27,bills,mobile plan,1078.1,bank_transfer,EUR,Ryanair,Stockholm
2026-05-10,study,software,1438.62,mobile_payment,SEK,Apoteket,Malmo
2026-06-13,health, vitamins ,1014.0,bank_transfer,SEK,Lidl,Lund
2026-03-02, HEALTH ,gym,531.94,card,SEK,Skane Trafiken,Malmo
2026-04-09,bills,internet,130.84,mobile_payment,SEK,Ryanair,Helsingborg
2026-01-16,entertainment,game,641.48,card,DKK,Espresso House,helsingborg
2026-01-02,shopping,shoes,,mobile_payment,SEK,Filmstaden,Helsingborg
2026-02-26,health,vitamins,792.46,mobile_payment,SEK,Espresso House,Malmo
2026-04-30,bills,rent share,868.57,mobile_payment,SEK,ICA,Kristianstad
2026-06-14,study,course fee,1390.96,cash,SEK,Apoteket,Helsingborg
2026-03-25,entertainment,game,543.15,mobile_payment,SEK,Netflix,Lund
2026-01-21,travel,hotel,1205.97,card,SEK,Filmstaden,Kristianstad
2026-06-16,food,groceries,1520.89,cash,SEK,Skane Trafiken,Malmo
2026-02-02,travel,hotel,915.43,cash,SEK,,Lund
2026-02-12, TRANSPORT ,train ticket,1544.61,card,SEK,ICA,Lund
2026-05-28,study, software ,1508.11,cash,SEK,Filmstaden,Kristianstad
2026-06-28,health,pharmacy,1280.08,card,SEK,Netflix,Lund
2026-01-18,household,lamp,49.86,mobile_payment,SEK,SJ,Helsingborg
2026-04-03,travel,flight,713.71,bank_transfer,SEK,IKEA,Helsingborg
2026-04-22,health,,1367.19,card,SEK,Ryanair,Malmo
2026-04-29,study,printing,75.06,bank_transfer,SEK,IKEA,Malmo
2026-04-01,health,gym,469.06,bank_transfer,SEK,ICA,Stockholm
2026-02-18,transport,train ticket,1160.52,mobile_payment,SEK,Filmstaden,helsingborg
2026-06-15,travel,local transport,1274.9,card,SEK,Filmstaden,Helsingborg
2026-06-27,entertainment,concert,abc,bank_transfer,SEK,Shell,Helsingborg
2026-05-21, SHOPPING ,shoes,1133.48,bank_transfer,SEK,Apoteket,Malmo
2026-01-31,entertainment,concert,217.7,cash,SEK,Telia,Helsingborg
2026-03-12,household,lamp,1569.4,cash,SEK,Filmstaden,Lund
2026-02-15,health, pharmacy ,1141.59,cash,SEK,Coop,Kristianstad
